station,long,lat,comid,station
USGS-01580000,-76.4033056,39.6299722,4726301,USGS-01580000
USGS-01581700,-76.3729722,39.51994444,11687474,USGS-01581700
USGS-01582000,-76.6204722,39.6040833,11687636,USGS-01582000
USGS-01583500,-76.6765,39.51077778,11687656,USGS-01583500
USGS-01584050,-76.47888889,39.45469444,11688586,USGS-01584050
USGS-01585500,-76.96825,39.59269444,11687638,USGS-01585500
USGS-01586000,-76.88438889,39.503,11687548,USGS-01586000
USGS-01589000,-76.7924167,39.31030556,11689718,USGS-01589000
USGS-01590500,-76.6144094,39.00205528,8376101,USGS-01590500
USGS-01591000,-77.0557222,39.23825,11907296,USGS-01591000
USGS-01591400,-77.0510556,39.2559722,11907272,USGS-01591400
USGS-01591700,-77.0214167,39.17452778,11907336,USGS-01591700
USGS-01592500,-76.87375,39.1157222,11905746,USGS-01592500
USGS-01593500,-76.85125,39.16775,11905718,USGS-01593500
USGS-01594440,-76.6936944,38.95591667,11907758,USGS-01594440
USGS-01617800,-77.7772222,39.51455556,5891846,USGS-01617800
USGS-01619500,-77.7301944,39.44977778,5894726,USGS-01619500
USGS-01636500,-77.7891606,39.28204576,8445070,USGS-01636500
USGS-01637500,-77.5561667,39.42725,4505256,USGS-01637500
USGS-01638480,-77.5763778,39.25510206,4505612,USGS-01638480
USGS-01638500,-77.5431111,39.2735833,4507348,USGS-01638500
USGS-01639000,-77.23452778,39.67905556,8448416,USGS-01639000
USGS-01639500,-77.2374444,39.6123611,8449082,USGS-01639500
USGS-01641000,-77.3965222,39.5936111,8448674,USGS-01641000
USGS-01643000,-77.3660833,39.4028333,8450266,USGS-01643000
USGS-01643500,-77.4070833,39.29413889,8450600,USGS-01643500
USGS-01644000,-77.5774918,39.01955309,4507266,USGS-01644000
USGS-01645000,-77.33577778,39.1280833,4506374,USGS-01645000
USGS-01646000,-77.24581439,38.97594346,4509202,USGS-01646000
USGS-01646500,-77.12763889,38.94977778,4512772,USGS-01646500
USGS-01648000,-77.04,38.9725,22338431,USGS-01648000
USGS-01649500,-76.9259722,38.96025,22337975,USGS-01649500
