,long,lat,comid,station
184,-76.1716128,40.4134258,4783101,USGS-01470779
185,-76.0252159,40.3706482,4783213,USGS-01470960
186,-75.9791015,40.36898166,4782017,USGS-01471000
187,-75.9386667,40.33163889,4782313,USGS-01471510
188,-75.6515752,40.2417631,4782441,USGS-01472000
189,-75.601305,40.15149064,4782153,USGS-01472157
190,-75.51545918,40.39398789,4780723,USGS-01472198
191,-75.5224034,40.3739879,4780787,USGS-01472199
192,-75.2343416,40.40399276,4782009,USGS-01472620
193,-75.4287873,40.2587137,4781261,USGS-01472810
194,-75.451567,40.22954725,4782107,USGS-01473000
195,-75.46074808,40.07927367,4781877,USGS-01473169
196,-75.2198992,40.1239987,4781731,USGS-01473900
197,-75.2068459,40.01539,4782187,USGS-01474000
198,-75.1885123,39.9678905,4784831,USGS-01474500
199,-75.1144444,39.73888889,4495272,USGS-01475001
200,-75.2799067,39.97483455,4495656,USGS-01475530
201,-75.2376361,39.9327861,4495680,USGS-01475548
202,-75.4365864,39.97649897,4494460,USGS-01475850
203,-75.4032496,39.9162225,4495704,USGS-01476480
204,-75.4082494,39.8690009,4495846,USGS-01477000
205,-75.2591667,39.74055556,4495818,USGS-01477120
206,-75.5186944,39.7609722,4651906,USGS-01477800
207,-75.72788889,39.63738889,4651956,USGS-01478000
208,-75.780773,39.8284429,4651038,USGS-01478120
209,-75.7708333,39.7475,4651254,USGS-01478245
210,-75.74875,39.6892222,4651944,USGS-01478650
211,-75.67502778,39.6992222,4651938,USGS-01479000
212,-75.6916008,39.81677739,4651090,USGS-01479820
213,-75.6365,39.76280556,4651912,USGS-01480000
214,-75.6399444,39.71575,4651930,USGS-01480015
215,-75.8607744,40.07287916,4648694,USGS-01480300
216,-75.8449449,40.0273261,4648544,USGS-01480400
217,-75.8274467,39.98566144,932040162,USGS-01480500
218,-75.8013341,39.9617734,4650580,USGS-01480617
219,-75.6846599,39.9303864,4650698,USGS-01480638
220,-75.74159878,40.09787927,4648686,USGS-01480675
221,-75.71632459,40.05538195,4648728,USGS-01480685
222,-75.7085488,40.03482757,4648568,USGS-01480700
223,-75.6732715,39.9687191,4650548,USGS-01480870
224,-75.5932623,39.8698328,4652046,USGS-01481000
225,-75.5766944,39.7695,4655440,USGS-01481500
226,-75.33027778,39.64388889,9481992,USGS-01482500
227,-75.7094722,39.4309722,4653400,USGS-01483155
228,-75.66938889,39.36627778,4653422,USGS-01483200
229,-75.5190833,39.1637222,8074660,USGS-01483700
230,-75.51275,38.90577778,8077030,USGS-01484100
231,-75.29102778,38.59455556,8407597,USGS-01484525
232,-75.13338889,38.52144444,8408571,USGS-01484695
233,-75.21238889,38.4093333,8410499,USGS-0148471320
234,-75.3244444,38.38888889,8401303,USGS-01485000
235,-75.4714444,38.22891667,8401785,USGS-01485500
236,-75.67138889,38.21388889,8401391,USGS-01486000
237,-75.5618611,38.7283333,8392898,USGS-01487000
238,-75.6731111,38.84969444,8391164,USGS-01488500
239,-75.7858056,38.99719444,9407484,USGS-01491000
240,-75.9430556,38.96680556,9407582,USGS-01491500
241,-76.1088333,38.96488889,4768920,USGS-01492500
242,-75.8615,39.24994444,4765354,USGS-01493000
243,-76.0145556,39.28002778,4766828,USGS-01493500
244,-75.8968883,39.8223306,4762986,USGS-01494850
245,-75.8255833,39.6675833,4763116,USGS-01495000
246,-75.2343056,42.33313889,8086799,USGS-01500000
247,-75.4061111,42.37777778,8086663,USGS-01502500
248,-75.47677778,42.2918333,8087855,USGS-01502632
249,-75.63763889,42.0748611,8088065,USGS-01502731
250,-75.8030556,42.03530556,8088149,USGS-01503000
251,-75.5105556,42.6786111,9420985,USGS-01505000
252,-75.59638889,42.44166667,9422879,USGS-01505810
253,-75.77138889,42.32444444,9424095,USGS-01507000
254,-76.15938889,42.60266667,9422095,USGS-01509000
255,-75.8997222,42.5411111,9420685,USGS-01510000
256,-75.84813889,42.21805556,9423965,USGS-01512500
257,-76.0561111,42.0908333,8102921,USGS-01513500
258,-76.26638889,42.0972222,8102961,USGS-01513831
