site_no,long,lat,begin_date,end_date,geometry,years_of_data,comid,reachcode,comid-long,comid-lat
01475510,-75.2724064,39.92900154,1964-02-01,1990-09-29,POINT (-75.2724064 39.92900154),26.65845311430527,4495682,02040202000159,-75.27247659404814,39.92921625688319
01466900,-74.62777778,39.9561111,1998-05-11,2024-12-01,POINT (-74.62777778 39.9561111),26.559890485968516,4491946,02040202000266,-74.62922401827292,39.956680756958704
01422747,-75.1219167,42.17266667,1998-10-01,2024-12-01,POINT (-75.1219167 42.17266667),26.168377823408623,2613498,02040101000134,-75.12208825145757,42.17250040157093
01464907,-75.119616,40.22927456,1998-11-25,2024-12-01,POINT (-75.119616 40.22927456),26.017796030116358,4482885,02040201000417,-75.11870629530122,40.22872964549823
01467500,-76.1863318,40.68370115,1943-10-01,1969-09-29,POINT (-76.1863318 40.68370115),25.9958932238193,4779499,02040203000940,-76.18677698752091,40.68344150873
01415500,-74.90027778,42.13055556,1937-04-01,1962-09-29,POINT (-74.90027778 42.13055556),25.49486652977413,1748725,02040102000200,-74.90038693782958,42.1307431564529
01475300,-75.4218614,40.0226093,1972-04-28,1997-09-30,POINT (-75.4218614 40.0226093),25.423682409308693,4489072,02040202000170,-75.42078945091428,40.02278071068489
01466000,-74.5080556,39.91666667,1952-10-01,1977-06-19,POINT (-74.5080556 39.91666667),24.71457905544148,4492020,02040202000274,-74.50825382213581,39.917023875464345
01413088,-74.5591944,42.29380556,2000-06-07,2024-12-01,POINT (-74.5591944 42.29380556),24.484599589322382,1748535,02040102000097,-74.55911003619427,42.29358934174184
01421610,-74.66888889,42.37138889,2000-08-11,2024-12-01,POINT (-74.66888889 42.37138889),24.306639288158795,2612920,02040101000133,-74.669399498418,42.37125132120649
01483155,-75.7094722,39.4309722,2001-04-01,2024-12-01,POINT (-75.7094722 39.4309722),23.668720054757017,4653400,02040205000380,-75.70942790709182,39.431263982479635
01440485,-75.32210958,41.09388988,2001-04-18,2024-12-01,POINT (-75.32210958 41.09388988),23.62217659137577,4153154,02040104000718,-75.3218904652875,41.09392039112681
01470853,-76.1432785,40.34009236,1982-10-01,2005-09-29,POINT (-76.1432785 40.34009236),22.99520876112252,4783303,02040203000467,-76.14349363170585,40.34038155873093
01424500,-75.3200833,42.09530556,1940-10-01,1963-09-29,POINT (-75.3200833 42.09530556),22.99247091033539,2614122,02040101005437,-75.3214538855808,42.08879450253832
01470756,-75.8829816,40.5142605,1973-01-19,1995-09-29,POINT (-75.8829816 40.5142605),22.691307323750856,4779053,02040203000144,-75.88268077352191,40.51381361679274
01441495,-75.2551636,40.99083514,2002-06-21,2024-11-03,POINT (-75.2551636 40.99083514),22.3709787816564,4154458,02040104000561,-75.25444323268763,40.99113901064362
01432900,-74.7805556,41.66805556,2002-10-01,2024-12-01,POINT (-74.7805556 41.66805556),22.168377823408623,4147566,02040104000193,-74.78096196604258,41.66789877056058
01484300,-75.3271366,38.81427928,1956-10-01,1978-09-29,POINT (-75.3271366 38.81427928),21.99315537303217,8077194,02040207000237,-75.32692777520238,38.81404560202402
01480638,-75.6846599,39.9303864,2002-12-24,2024-09-30,POINT (-75.6846599 39.9303864),21.76865160848734,4650698,02040205000217,-75.68482773101329,39.93016568587357
01483000,-75.3605556,39.56555556,1952-10-01,1972-10-25,POINT (-75.3605556 39.56555556),20.06570841889117,9482230,02040206030024,-75.36030701961887,39.565012274268724
